Mineprep:0.5 | 时间戳1779623115.5028656,中文,English,繁體中文,,,"② *生成器过滤类型{1:'👤', 2:'🟩' , 3:'🟥', 4:'🟨', 5:'🌊', 6:'📸', 7:'💡', 8:'👪', 9:'✨', 10:'🧱', 11:'𝓕', 12:'🔧'}",<2:放置生物>,<2:Mobs>,<2:放置生物>,,,,③,<3:预设素材>,<3:Preset>,<3:預設素材>,,,④,<4:附加组件>,<4:Attach>,<4:附加組件>,,,⑤,<5:枚举选项>,<5:Enum Options>,<5:枚舉選項>,,,,⑥,<6:放置方块>,<6:Blocks>,<6:放置方塊>,,,,⑦,<7:放置物品>,<7:Items>,<7:放置物品>
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,👤🟨,紫珀柱,purpur_pillar,紫珀柱,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,👤🟨,紫珀柱 [横置],purpur_pillar_horizontal,紫珀柱 [橫置],,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,👤🟨,紫珀台阶,purpur_slab,紫珀半磚,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,👤🟨,紫珀台阶 [顶部],purpur_slab_top,紫珀半磚 [頂部],,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,👤🟨,紫珀楼梯,purpur_stairs,紫珀樓梯 (紫珀階梯),,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,👤🟨,紫珀楼梯 [内角],purpur_stairs_inner,紫珀樓梯 (紫珀階梯) [內角],,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,👤🟨,紫珀楼梯 [外角],purpur_stairs_outer,紫珀樓梯 (紫珀階梯) [外角],,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,👤🟥,石英块,quartz_block,石英磚 (石英方塊),,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,👤🟥,石英砖,quartz_bricks,磚紋石英磚 (石英磚),,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,👤🟥,石英柱,quartz_pillar,石英柱,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,👤🟥,石英柱 [横置],quartz_pillar_horizontal,石英柱 [橫置],,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,👤🟥,石英台阶,quartz_slab,石英半磚,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,👤🟥,石英台阶 [顶部],quartz_slab_top,石英半磚 [頂部],,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,👤🟥,石英楼梯,quartz_stairs,石英樓梯 (石英階梯),,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,👤🟥,石英楼梯 [内角],quartz_stairs_inner,石英樓梯 (石英階梯) [內角],,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,👤🟥,石英楼梯 [外角],quartz_stairs_outer,石英樓梯 (石英階梯) [外角],,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,👤,铁轨,rail,路軌 (鐵軌),,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,👤,铁轨 [角落],rail_corner,路軌 (鐵軌) [角落],,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,👤,铁轨,rail_curved,路軌 (鐵軌),,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,👤,铁轨,rail_flat,路軌 (鐵軌),,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,👤,铁轨 [东北坡],rail_raised_ne,路軌 (鐵軌) [東北坡],,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,👤,铁轨 [西南坡],rail_raised_sw,路軌 (鐵軌) [西南坡],,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,👤🟩,粗铜块,raw_copper_block,粗銅磚 (銅原礦方塊),,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,👤🟩,粗金块,raw_gold_block,粗金磚 (金原礦方塊),,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,👤🟩,粗铁块,raw_iron_block,粗鐵磚 (鐵原礦方塊),,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,👤,红石块,redstone_block,紅石磚 (紅石方塊),,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#,红石粉 [点],redstone_dust_dot,紅石粉 [點],,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#,红石粉 [侧面],redstone_dust_side,紅石粉 [側面],,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#,红石粉,redstone_dust_side0,紅石粉,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#,红石粉,redstone_dust_side1,紅石粉,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#,红石粉 [侧面变体],redstone_dust_side_alt,紅石粉 [側面變體],,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#,红石粉,redstone_dust_side_alt0,紅石粉,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#,红石粉,redstone_dust_side_alt1,紅石粉,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#,红石粉 [上],redstone_dust_up,紅石粉 [上],,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,👤💡,红石灯,redstone_lamp,紅石燈,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,👤💡,红石灯 [激活],redstone_lamp_on,紅石燈 [激活],,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,🟩,红石矿石,redstone_ore,紅石礦,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,👤💡,红石火把,redstone_torch,紅石火炬 (紅石火把),,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,👤💡,红石火把,redstone_torch_off,紅石火炬 (紅石火把),,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,👤💡,墙上的红石火把,redstone_wall_torch,牆上嘅紅石火炬 (牆上的紅石火把),,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,👤💡,墙上的红石火把,redstone_wall_torch_off,牆上嘅紅石火炬 (牆上的紅石火把),,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,👤💡,插上红色蜡烛的蛋糕,red_candle_cake,插咗紅色蠟燭嘅蛋糕 (插上紅色蠟燭的蛋糕),,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,👤💡,插上红色蜡烛的蛋糕 [点亮],red_candle_cake_lit,插咗紅色蠟燭嘅蛋糕 (插上紅色蠟燭的蛋糕) [點亮],,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,👤💡,红色蜡烛,red_candle_four_candles,紅色蠟燭,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,👤💡,红色蜡烛 [点亮],red_candle_four_candles_lit,紅色蠟燭 [點亮],,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,👤💡,红色蜡烛,red_candle_one_candle,紅色蠟燭,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,👤💡,红色蜡烛 [点亮],red_candle_one_candle_lit,紅色蠟燭 [點亮],,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,👤💡,红色蜡烛,red_candle_three_candles,紅色蠟燭,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,👤💡,红色蜡烛 [点亮],red_candle_three_candles_lit,紅色蠟燭 [點亮],,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,👤💡,红色蜡烛,red_candle_two_candles,紅色蠟燭,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,👤💡,红色蜡烛 [点亮],red_candle_two_candles_lit,紅色蠟燭 [點亮],,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,👤,红色地毯,red_carpet,紅色地氈 (紅色地毯),,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,👤,红色混凝土,red_concrete,紅色混凝土,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,👤,红色混凝土粉末,red_concrete_powder,紅色混凝土粉末,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,👤,红色带釉陶瓦,red_glazed_terracotta,紅色釉陶,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,🟩,红色蘑菇,red_mushroom,紅色蘑菇,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,👤🟩,红色蘑菇方块,red_mushroom_block,紅色蘑菇方塊,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,👤🟩,红色蘑菇方块 [物品栏],red_mushroom_block_inventory,紅色蘑菇方塊 [物品欄],,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,👤🟥,红色下界砖块,red_nether_bricks,紅色地獄磚 (紅地獄磚),,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,👤🟥,红色下界砖台阶,red_nether_brick_slab,紅色地獄磚半磚 (紅地獄磚半磚),,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,👤🟥,红色下界砖台阶 [顶部],red_nether_brick_slab_top,紅色地獄磚半磚 (紅地獄磚半磚) [頂部],,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,👤🟥,红色下界砖楼梯,red_nether_brick_stairs,紅色地獄磚樓梯 (紅地獄磚階梯),,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,👤🟥,红色下界砖楼梯 [内角],red_nether_brick_stairs_inner,紅色地獄磚樓梯 (紅地獄磚階梯) [內角],,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,👤🟥,红色下界砖楼梯 [外角],red_nether_brick_stairs_outer,紅色地獄磚樓梯 (紅地獄磚階梯) [外角],,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,👤🟥,红色下界砖 [墙上物品栏],red_nether_brick_wall_inventory,紅色地獄磚 [牆上物品欄],,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,👤🟥,红色下界砖 [墙上柱],red_nether_brick_wall_post,紅色地獄磚 [牆上柱],,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,👤🟥,红色下界砖 [墙上侧面],red_nether_brick_wall_side,紅色地獄磚 [牆上側面],,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,👤🟥,红色下界砖 [墙上侧面高],red_nether_brick_wall_side_tall,紅色地獄磚 [牆上側面高],,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#,红沙,red_sand,紅沙,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#,红砂岩,red_sandstone,紅砂岩,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,👤,红砂岩台阶,red_sandstone_slab,紅砂岩半磚,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,👤,红砂岩台阶 [顶部],red_sandstone_slab_top,紅砂岩半磚 [頂部],,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,👤,红砂岩楼梯,red_sandstone_stairs,紅砂岩樓梯 (紅砂岩階梯),,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,👤,红砂岩楼梯 [内角],red_sandstone_stairs_inner,紅砂岩樓梯 (紅砂岩階梯) [內角],,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,👤,红砂岩楼梯 [外角],red_sandstone_stairs_outer,紅砂岩樓梯 (紅砂岩階梯) [外角],,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,👤,红砂岩 [墙上物品栏],red_sandstone_wall_inventory,紅砂岩 [牆上物品欄],,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,👤,红砂岩 [墙上柱],red_sandstone_wall_post,紅砂岩 [牆上柱],,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,👤,红砂岩 [墙上侧面],red_sandstone_wall_side,紅砂岩 [牆上側面],,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,👤,红砂岩 [墙上侧面高],red_sandstone_wall_side_tall,紅砂岩 [牆上側面高],,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,👤🟨,红色潜影盒,red_shulker_box,紅色界伏盒,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,👤,红色染色玻璃,red_stained_glass,紅色染色玻璃 (紅色玻璃),,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,👤,红色染色玻璃板 [无侧面],red_stained_glass_pane_noside,紅色染色玻璃片 (紅色玻璃片) [無側面],,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,👤,红色染色玻璃板 [无侧面变体],red_stained_glass_pane_noside_alt,紅色染色玻璃片 (紅色玻璃片) [無側面變體],,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,👤,红色染色玻璃板 [柱],red_stained_glass_pane_post,紅色染色玻璃片 (紅色玻璃片) [柱],,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,👤,红色染色玻璃板 [侧面],red_stained_glass_pane_side,紅色染色玻璃片 (紅色玻璃片) [側面],,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,👤,红色染色玻璃板 [侧面变体],red_stained_glass_pane_side_alt,紅色染色玻璃片 (紅色玻璃片) [側面變體],,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,👤,红色陶瓦,red_terracotta,紅色陶瓦 (紅色陶土),,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,🟩,红色郁金香,red_tulip,紅色鬱金香,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,👤,红色羊毛,red_wool,紅色羊毛,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,🟩,强化深板岩,reinforced_deepslate,強化深板岩,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,👤,红石中继器,repeater_1tick,紅石中繼器,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,👤,红石中继器 [锁定],repeater_1tick_locked,紅石中繼器 [鎖定],,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,👤,红石中继器 [激活],repeater_1tick_on,紅石中繼器 [激活],,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,👤,红石中继器 [激活锁定],repeater_1tick_on_locked,紅石中繼器 [激活鎖定],,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,👤,红石中继器,repeater_2tick,紅石中繼器,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,👤,红石中继器 [锁定],repeater_2tick_locked,紅石中繼器 [鎖定],,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,👤,红石中继器 [激活],repeater_2tick_on,紅石中繼器 [激活],,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,👤,红石中继器 [激活锁定],repeater_2tick_on_locked,紅石中繼器 [激活鎖定],,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,👤,红石中继器,repeater_3tick,紅石中繼器,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,👤,红石中继器 [锁定],repeater_3tick_locked,紅石中繼器 [鎖定],,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,👤,红石中继器 [激活],repeater_3tick_on,紅石中繼器 [激活],,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,👤,红石中继器 [激活锁定],repeater_3tick_on_locked,紅石中繼器 [激活鎖定],,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,👤,红石中继器,repeater_4tick,紅石中繼器,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,👤,红石中继器 [锁定],repeater_4tick_locked,紅石中繼器 [鎖定],,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,👤,红石中继器 [激活],repeater_4tick_on,紅石中繼器 [激活],,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,👤,红石中继器 [激活锁定],repeater_4tick_on_locked,紅石中繼器 [激活鎖定],,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#,循环型命令方块,repeating_command_block,重複型命令方塊 (重複型指令方塊),,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,👤,循环型命令方块,repeating_command_block_conditional,重複型命令方塊 (重複型指令方塊),,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,👤,树脂块,resin_block,樹脂塊,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,👤,树脂砖,resin_bricks,樹脂磚,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,👤,树脂砖台阶,resin_brick_slab,樹脂磚台階,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,👤,树脂砖台阶 [顶部],resin_brick_slab_top,樹脂磚台階 [頂部],,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,👤,树脂砖楼梯,resin_brick_stairs,樹脂磚樓梯,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,👤,树脂砖楼梯 [内角],resin_brick_stairs_inner,樹脂磚樓梯 [內角],,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,👤,树脂砖楼梯 [外角],resin_brick_stairs_outer,樹脂磚樓梯 [外角],,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,👤,树脂砖 [墙上物品栏],resin_brick_wall_inventory,樹脂磚 [牆上物品欄],,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,👤,树脂砖 [墙上柱],resin_brick_wall_post,樹脂磚 [牆上柱],,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,👤,树脂砖 [墙上侧面],resin_brick_wall_side,樹脂磚 [牆上側面],,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,👤,树脂砖 [墙上侧面高],resin_brick_wall_side_tall,樹脂磚 [牆上側面高],,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#,树脂块,resin_clump,樹脂團,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,👤💡,重生锚,respawn_anchor_0,重生錨,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,👤💡,重生锚,respawn_anchor_1,重生錨,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,👤💡,重生锚,respawn_anchor_2,重生錨,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,👤💡,重生锚,respawn_anchor_3,重生錨,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,👤💡,重生锚,respawn_anchor_4,重生錨,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,🟩,缠根泥土,rooted_dirt,纏根泥土 (扎根土),,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,🟩,玫瑰丛 [底部],rose_bush_bottom,玫瑰叢 [底部],,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,🟩,玫瑰丛 [顶部],rose_bush_top,玫瑰叢 [頂部],,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,🟩,沙子,sand,沙,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#,砂岩,sandstone,砂岩,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,👤,砂岩台阶,sandstone_slab,砂岩半磚,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,👤,砂岩台阶 [顶部],sandstone_slab_top,砂岩半磚 [頂部],,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,👤,砂岩楼梯,sandstone_stairs,砂岩樓梯 (砂岩階梯),,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,👤,砂岩楼梯 [内角],sandstone_stairs_inner,砂岩樓梯 (砂岩階梯) [內角],,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,👤,砂岩楼梯 [外角],sandstone_stairs_outer,砂岩樓梯 (砂岩階梯) [外角],,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,👤,砂岩 [墙上物品栏],sandstone_wall_inventory,砂岩 [牆上物品欄],,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,👤,砂岩 [墙上柱],sandstone_wall_post,砂岩 [牆上柱],,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,👤,砂岩 [墙上侧面],sandstone_wall_side,砂岩 [牆上側面],,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,👤,砂岩 [墙上侧面高],sandstone_wall_side_tall,砂岩 [牆上側面高],,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#,脚手架,scaffolding_stable,棚架 (鷹架),,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#,脚手架,scaffolding_unstable,棚架 (鷹架),,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,🟩,幽匿块,sculk,沉靈方塊 (伏聆),,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,🟩💡,幽匿催发体,sculk_catalyst,沉靈催發器 (伏聆觸媒),,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,👤🟩💡,幽匿催发体,sculk_catalyst_bloom,沉靈催發器 (伏聆觸媒),,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,🟩,幽匿块,sculk_mirrored,沉靈方塊 (伏聆),,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,🟩,幽匿感测体,sculk_sensor,沉靈傳感器 (伏聆振測器),,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,🟩,幽匿感测体,sculk_sensor_active,沉靈傳感器 (伏聆振測器),,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,🟩,幽匿感测体,sculk_sensor_inactive,沉靈傳感器 (伏聆振測器),,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,🟩,幽匿尖啸体,sculk_shrieker,沉靈尖嘯器 (伏聆嘯口),,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,🟩,幽匿尖啸体,sculk_shrieker_can_summon,沉靈尖嘯器 (伏聆嘯口),,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,🟩,幽匿脉络,sculk_vein,沉靈脈絡 (伏聆脈絡),,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,🟩🌊,海草,seagrass,海草,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,👤🌊💡,海晶灯,sea_lantern,海燈籠,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,🌊💡,海泡菜,sea_pickle,海鞘,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,🟩,short干旱草,short_dry_grass,short乾旱草,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,🟩,矮草丛,short_grass,矮草叢 (矮草),,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,🟥💡,菌光体,shroomlight,菌光體 (蕈光體),,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,👤🟨,潜影盒,shulker_box,界伏盒,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#,头颅,skull,頭顱,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#,台阶,slab,台階,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#,台阶 [顶部],slab_top,台階 [頂部],,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,👤🌊,slightly裂纹海龟蛋,slightly_cracked_turtle_egg,slightly裂紋海龜蛋,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,👤,黏液块,slime_block,史萊姆方塊,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,🟩💡,小型紫晶芽,small_amethyst_bud,小型紫晶芽 (小型紫水晶芽),,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,🟩,小型垂滴叶 [底部],small_dripleaf_bottom,細懸葉草 (小懸葉草) [底部],,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,🟩,小型垂滴叶 [顶部],small_dripleaf_top,細懸葉草 (小懸葉草) [頂部],,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,👤,锻造台,smithing_table,鍛造台,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,👤,烟熏炉,smoker,煙燻爐,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,👤💡,烟熏炉 [激活],smoker_on,煙燻爐 [激活],,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,👤🟥,平滑玄武岩,smooth_basalt,平滑玄武岩,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,👤🟥,平滑石英块,smooth_quartz,平滑石英磚 (平滑石英方塊),,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,👤🟥,平滑石英台阶,smooth_quartz_slab,平滑石英半磚,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,👤🟥,平滑石英台阶 [顶部],smooth_quartz_slab_top,平滑石英半磚 [頂部],,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,👤🟥,平滑石英楼梯,smooth_quartz_stairs,平滑石英樓梯 (平滑石英階梯),,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,👤🟥,平滑石英楼梯 [内角],smooth_quartz_stairs_inner,平滑石英樓梯 (平滑石英階梯) [內角],,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,👤🟥,平滑石英楼梯 [外角],smooth_quartz_stairs_outer,平滑石英樓梯 (平滑石英階梯) [外角],,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,👤,平滑红砂岩,smooth_red_sandstone,平滑紅砂岩,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,👤,平滑红砂岩台阶,smooth_red_sandstone_slab,平滑紅砂岩半磚,,,,,,,
